Restart,Iteration,RunTime,Distance,RunTimeSinceBeginningOfRun,BestDistance
0,0,2.609375,14270125.000916526,2.9375,13958950.29655906
0,1,3.9375,13733845.06899951,4.265625,13733845.06899951
0,2,4.96875,13537350.800372506,5.296875,13537350.800372506
0,3,5.859375,13424015.3228718,6.1875,13424015.3228718
0,4,6.734375,13338443.415608965,7.0625,13338443.415608965
0,5,7.609375,13264250.754188614,7.9375,13264250.754188614
0,6,8.5,13196562.926140647,8.828125,13196562.926140647
0,7,9.390625,13130003.140546069,9.71875,13130003.140546069
0,8,10.28125,13055067.71174336,10.609375,13055067.71174336
0,9,11.171875,12988211.462247578,11.5,12988211.462247578
0,10,12.0625,12929257.64771788,12.390625,12929257.64771788
0,11,12.9375,12871843.657524703,13.265625,12871843.657524703
0,12,13.84375,12799852.0480256,14.171875,12799852.0480256
0,13,14.71875,12742548.712968323,15.046875,12742548.712968323
0,14,15.625,12686105.600579634,15.953125,12686105.600579634
0,15,16.5,12636565.064120078,16.828125,12636565.064120078
0,16,17.703125,12583278.571874492,18.03125,12583278.571874492
0,17,18.59375,12536644.182472602,18.921875,12536644.182472602
0,18,19.484375,12493575.612768482,19.8125,12493575.612768482
0,19,20.359375,12448458.398169879,20.6875,12448458.398169879
0,20,21.25,12406792.417079415,21.578125,12406792.417079415
0,21,22.140625,12371694.167049244,22.46875,12371694.167049244
0,22,23.03125,12339081.328118952,23.359375,12339081.328118952
0,23,23.9375,12306520.147460712,24.265625,12306520.147460712
0,24,24.8125,12275323.412880506,25.140625,12275323.412880506
0,25,25.703125,12244224.271555487,26.03125,12244224.271555487
0,26,26.578125,12214223.733158855,26.90625,12214223.733158855
0,27,27.484375,12185377.765455944,27.8125,12185377.765455944
0,28,28.375,12161918.872993756,28.703125,12161918.872993756
0,29,29.296875,12140527.56268626,29.625,12140527.56268626
0,30,30.1875,12119737.39302389,30.515625,12119737.39302389
0,31,31.09375,12097189.806511778,31.421875,12097189.806511778
0,32,31.984375,12077180.747682987,32.3125,12077180.747682987
0,33,32.859375,12057886.206812816,33.1875,12057886.206812816
0,34,33.765625,12038625.132200755,34.09375,12038625.132200755
0,35,34.875,12019606.2192273,35.203125,12019606.2192273
0,36,35.765625,12000603.771584537,36.09375,12000603.771584537
0,37,36.65625,11982109.72022305,36.984375,11982109.72022305
0,38,37.546875,11963736.033686616,37.875,11963736.033686616
0,39,38.4375,11945685.171895185,38.765625,11945685.171895185
0,40,39.359375,11927638.69744849,39.6875,11927638.69744849
0,41,40.234375,11912344.327153616,40.5625,11912344.327153616
0,42,41.125,11897333.563947638,41.453125,11897333.563947638
0,43,42.015625,11882459.585121626,42.34375,11882459.585121626
0,44,42.890625,11867718.880578743,43.21875,11867718.880578743
0,45,43.796875,11850643.212701034,44.125,11850643.212701034
0,46,44.71875,11836702.266261585,45.046875,11836702.266261585
0,47,45.625,11822835.447447436,45.953125,11822835.447447436
0,48,46.5,11809135.594812315,46.828125,11809135.594812315
0,49,47.375,11796831.054904783,47.703125,11796831.054904783
0,50,48.265625,11784771.00713884,48.59375,11784771.00713884
0,51,49.1875,11772866.646858925,49.515625,11772866.646858925
0,52,50.09375,11761031.67303026,50.421875,11761031.67303026
0,53,50.984375,11749215.51667937,51.3125,11749215.51667937
0,54,51.859375,11719645.016667826,52.1875,11719645.016667826
0,55,52.75,11707835.503981248,53.078125,11707835.503981248
0,56,53.640625,11696113.680051567,53.96875,11696113.680051567
0,57,54.546875,11662437.337291267,54.875,11662437.337291267
0,58,55.453125,11651104.75404063,55.78125,11651104.75404063
0,59,56.34375,11639875.025359422,56.671875,11639875.025359422
0,60,57.234375,11628684.311403938,57.5625,11628684.311403938
0,61,58.109375,11616825.742816413,58.4375,11616825.742816413
0,62,59.0,11605932.079144958,59.328125,11605932.079144958
0,63,59.921875,11595668.522537095,60.25,11595668.522537095
0,64,60.859375,11585584.120953834,61.1875,11585584.120953834
0,65,61.75,11575546.679386595,62.078125,11575546.679386595
0,66,62.640625,11565895.565128842,62.96875,11565895.565128842
0,67,63.546875,11556579.3807068,63.875,11556579.3807068
0,68,64.46875,11545412.056109995,64.796875,11545412.056109995
0,69,65.375,11536149.564877467,65.703125,11536149.564877467
0,70,66.265625,11527063.62140046,66.59375,11527063.62140046
0,71,67.15625,11518202.843998069,67.484375,11518202.843998069
0,72,68.046875,11509711.682521252,68.375,11509711.682521252
0,73,68.9375,11501820.509681994,69.265625,11501820.509681994
0,74,69.859375,11494183.428305052,70.1875,11494183.428305052
0,75,70.765625,11486740.069199316,71.09375,11486740.069199316
0,76,71.65625,11479729.972559422,71.984375,11479729.972559422
0,77,72.546875,11472793.249758275,72.875,11472793.249758275
0,78,73.4375,11466152.91727363,73.765625,11466152.91727363
0,79,74.34375,11459642.812024344,74.671875,11459642.812024344
0,80,75.265625,11451354.45993067,75.59375,11451354.45993067
0,81,76.171875,11444917.449374773,76.5,11444917.449374773
0,82,77.078125,11438774.37620888,77.40625,11438774.37620888
0,83,77.96875,11432802.611668361,78.296875,11432802.611668361
0,84,78.859375,11426864.118621832,79.1875,11426864.118621832
0,85,79.765625,11421269.101236373,80.09375,11421269.101236373
0,86,80.671875,11415726.945137136,81.0,11415726.945137136
0,87,81.5625,11410206.635730846,81.890625,11410206.635730846
0,88,82.453125,11404815.461947637,82.78125,11404815.461947637
0,89,83.328125,11399425.21832458,83.65625,11399425.21832458
0,90,84.21875,11389741.897076825,84.546875,11389741.897076825
0,91,85.125,11384626.248543072,85.453125,11384626.248543072
0,92,86.03125,11379576.542227983,86.359375,11379576.542227983
0,93,86.921875,11374551.949633397,87.25,11374551.949633397
0,94,87.828125,11369607.384346612,88.15625,11369607.384346612
0,95,88.71875,11364780.326415611,89.046875,11364780.326415611
0,96,89.609375,11359959.45275519,89.9375,11359959.45275519
0,97,90.53125,11355245.863054799,90.859375,11355245.863054799
0,98,91.46875,11350690.203065507,91.796875,11350690.203065507
0,99,92.34375,11346267.779645633,92.671875,11346267.779645633
0,100,93.25,11342069.169991696,93.578125,11342069.169991696
0,101,94.15625,11338045.107194694,94.484375,11338045.107194694
0,102,95.078125,11334064.603356514,95.40625,11334064.603356514
0,103,96.0,11309018.472790394,96.328125,11309018.472790394
0,104,96.90625,11305056.819666458,97.234375,11305056.819666458
0,105,97.796875,11301526.509329781,98.125,11301526.509329781
0,106,98.6875,11298331.726169214,99.015625,11298331.726169214
0,107,99.578125,11295243.02059179,99.90625,11295243.02059179
0,108,100.484375,11292289.922055684,100.8125,11292289.922055684
0,109,101.375,11289352.112475041,101.703125,11289352.112475041
0,110,102.265625,11286565.301762933,102.59375,11286565.301762933
0,111,103.15625,11283864.733561585,103.484375,11283864.733561585
0,112,104.0625,11281288.150617117,104.390625,11281288.150617117
0,113,104.953125,11278783.946121639,105.28125,11278783.946121639
0,114,105.890625,11276334.078320041,106.21875,11276334.078320041
0,115,106.796875,11270175.352454111,107.125,11270175.352454111
0,116,107.6875,11265746.332886709,108.015625,11265746.332886709
0,117,108.578125,11263382.858663373,108.90625,11263382.858663373
0,118,109.46875,11261241.524619425,109.796875,11261241.524619425
0,119,110.4375,11259109.2036602,110.765625,11259109.2036602
0,120,111.328125,11257107.241422927,111.65625,11257107.241422927
0,121,112.21875,11255410.760257907,112.546875,11255410.760257907
0,122,113.125,11253780.224407233,113.453125,11253780.224407233
0,123,114.015625,11252199.34981668,114.34375,11252199.34981668
0,124,114.90625,11240670.641198112,115.234375,11240670.641198112
0,125,115.859375,11239218.691484516,116.1875,11239218.691484516
0,126,116.75,11231083.767274301,117.078125,11231083.767274301
0,127,117.640625,11229987.08837798,117.96875,11229987.08837798
0,128,118.53125,11229056.31094431,118.859375,11229056.31094431
0,129,119.453125,11228140.661780939,119.78125,11228140.661780939
0,130,120.375,11217637.214356238,120.703125,11217637.214356238
0,131,121.296875,11211652.949151976,121.625,11211652.949151976
0,132,122.1875,11209031.948709842,122.515625,11209031.948709842
0,133,123.109375,11208209.480770139,123.4375,11208209.480770139
0,134,124.015625,11207436.47446124,124.34375,11207436.47446124
0,135,124.921875,11206783.837072078,125.25,11206783.837072078
0,136,125.859375,11192390.236636223,126.1875,11192390.236636223
0,137,126.765625,11188525.385996066,127.09375,11188525.385996066
0,138,127.65625,11187883.59448071,127.984375,11187883.59448071
0,139,128.546875,11187315.638939675,128.875,11187315.638939675
0,140,129.453125,11186960.681953115,129.78125,11186960.681953115
0,141,130.34375,11186626.428077638,130.671875,11186626.428077638
0,142,131.265625,11186559.221344097,131.59375,11186559.221344097
0,143,132.171875,11186515.394033032,132.5,11186515.394033032
0,144,133.0625,11185997.522026803,133.390625,11185997.522026803
0,145,133.953125,11185964.877379203,134.28125,11185964.877379203
0,146,134.84375,11185945.674552117,135.171875,11185945.674552117
0,147,135.75,11185945.674552117,136.078125,11185945.674552117
1,0,2.640625,13652853.428885866,139.046875,11185945.674552117
1,1,3.578125,13424262.281532845,139.984375,11185945.674552117
1,2,4.484375,13334494.42956481,140.890625,11185945.674552117
1,3,5.40625,13254486.012104617,141.8125,11185945.674552117
1,4,6.859375,13141677.081860486,143.265625,11185945.674552117
1,5,7.78125,13014044.439259486,144.1875,11185945.674552117
1,6,8.6875,12902068.78112352,145.09375,11185945.674552117
1,7,9.640625,12827579.436150037,146.046875,11185945.674552117
1,8,10.953125,12760868.316383738,147.359375,11185945.674552117
1,9,11.875,12530859.517687319,148.28125,11185945.674552117
1,10,12.8125,12490243.592370003,149.21875,11185945.674552117
1,11,13.734375,12451007.494607203,150.140625,11185945.674552117
1,12,14.671875,12415430.964231076,151.078125,11185945.674552117
1,13,15.609375,12380857.88721386,152.015625,11185945.674552117
1,14,16.53125,12318642.14924616,152.9375,11185945.674552117
1,15,17.4375,12285380.234034918,153.84375,11185945.674552117
1,16,18.359375,12249236.498920305,154.765625,11185945.674552117
1,17,19.296875,12220992.868718268,155.703125,11185945.674552117
1,18,20.296875,12193500.18927137,156.703125,11185945.674552117
1,19,21.21875,12166954.907581534,157.625,11185945.674552117
1,20,22.140625,12142336.364547601,158.546875,11185945.674552117
1,21,23.078125,12119041.72754776,159.484375,11185945.674552117
1,22,24.015625,12095760.685744572,160.421875,11185945.674552117
