Restart,Iteration,RunTime,Distance,RunTimeSinceBeginningOfRun,BestDistance
0,0,1.828125,13582899.05739961,2.140625,13402558.89813644
0,1,3.078125,13262341.365184024,3.390625,13262341.365184024
0,2,3.96875,13137606.221321225,4.28125,13137606.221321225
0,3,4.890625,13009366.071380908,5.203125,13009366.071380908
0,4,5.78125,12919012.996897021,6.09375,12919012.996897021
0,5,6.6875,12852301.87713072,7.0,12852301.87713072
0,6,7.59375,12578880.475832162,7.90625,12578880.475832162
0,7,8.484375,12520310.423167346,8.796875,12520310.423167346
0,8,9.4375,12479694.49785003,9.75,12479694.49785003
0,9,10.34375,12440458.40008723,10.65625,12440458.40008723
0,10,11.234375,12403349.940690862,11.546875,12403349.940690862
0,11,12.140625,12367773.410314735,12.453125,12367773.410314735
0,12,13.0625,12334511.495103493,13.375,12334511.495103493
0,13,13.96875,12298367.75998888,14.28125,12298367.75998888
0,14,14.890625,12268800.147639254,15.203125,12268800.147639254
0,15,15.78125,12233167.94198063,16.09375,12233167.94198063
0,16,16.703125,12205675.262533732,17.015625,12205675.262533732
0,17,17.59375,12179129.980843896,17.90625,12179129.980843896
0,18,18.515625,12155835.343844054,18.828125,12155835.343844054
0,19,19.421875,12132554.302040868,19.734375,12132554.302040868
0,20,20.34375,12110258.909779714,20.65625,12110258.909779714
0,21,21.25,12084913.788950304,21.5625,12084913.788950304
0,22,22.171875,12059902.386220701,22.484375,12059902.386220701
0,23,23.09375,12037863.035301257,23.40625,12037863.035301257
0,24,24.0,12015860.23661407,24.3125,12015860.23661407
0,25,24.921875,11994468.926306576,25.234375,11994468.926306576
0,26,25.828125,11974363.457773272,26.140625,11974363.457773272
0,27,26.75,11955116.921181196,27.0625,11955116.921181196
0,28,27.65625,11933145.062089823,27.96875,11933145.062089823
0,29,28.5625,11914990.754895395,28.875,11914990.754895395
0,30,29.453125,11898650.040137805,29.765625,11898650.040137805
0,31,30.375,11882337.509567548,30.6875,11882337.509567548
0,32,31.28125,11867399.291130396,31.59375,11867399.291130396
0,33,32.1875,11853259.340680871,32.5,11853259.340680871
0,34,33.09375,11837450.154954469,33.40625,11837450.154954469
0,35,34.265625,11798207.605520878,34.578125,11798207.605520878
0,36,35.265625,11784506.277570624,35.578125,11784506.277570624
0,37,36.1875,11770650.075602954,36.5,11770650.075602954
0,38,37.109375,11757132.151039427,37.421875,11757132.151039427
0,39,38.015625,11742039.105366308,38.328125,11742039.105366308
0,40,38.921875,11724696.341542305,39.234375,11724696.341542305
0,41,39.828125,11711249.244144628,40.140625,11711249.244144628
0,42,40.734375,11697879.680757625,41.046875,11697879.680757625
0,43,41.65625,11684028.782545239,41.96875,11684028.782545239
0,44,42.5625,11671300.185929745,42.875,11671300.185929745
0,45,43.484375,11659272.246502284,43.796875,11659272.246502284
0,46,44.375,11647261.409103425,44.6875,11647261.409103425
0,47,45.296875,11632848.067709967,45.609375,11632848.067709967
0,48,46.203125,11621038.555023389,46.515625,11621038.555023389
0,49,47.125,11609230.10633313,47.4375,11609230.10633313
0,50,48.046875,11597607.831859032,48.359375,11597607.831859032
0,51,48.96875,11586370.243838966,49.28125,11586370.243838966
0,52,49.875,11575179.529883482,50.1875,11575179.529883482
0,53,50.796875,11564285.866212027,51.109375,11564285.866212027
0,54,51.703125,11553852.729061568,52.015625,11553852.729061568
0,55,52.609375,11543741.350770755,52.921875,11543741.350770755
0,56,53.515625,11533697.249525072,53.828125,11533697.249525072
0,57,54.40625,11524110.01932128,54.71875,11524110.01932128
0,58,55.34375,11514587.962607201,55.65625,11514587.962607201
0,59,56.234375,11505137.805446658,56.546875,11505137.805446658
