Restart,Iteration,RunTime,Distance,RunTimeSinceBeginningOfRun,BestDistance
0,0,2.109375,14423429.729414389,2.4375,13816794.665956669
0,1,2.921875,13512175.875453092,3.25,13512175.875453092
0,2,4.0,13072077.250886412,4.328125,13072077.250886412
0,3,4.8125,12986505.343623577,5.140625,12986505.343623577
0,4,5.609375,12910849.041759947,5.9375,12910849.041759947
0,5,6.40625,12835913.61295724,6.734375,12835913.61295724
0,6,7.265625,12768225.784909273,7.59375,12768225.784909273
0,7,8.109375,12709271.970379574,8.4375,12709271.970379574
0,8,8.90625,12651968.635322297,9.234375,12651968.635322297
0,9,9.71875,12605334.245920407,10.046875,12605334.245920407
0,10,10.515625,12562265.676216288,10.84375,12562265.676216288
0,11,11.296875,12517148.461617684,11.625,12517148.461617684
0,12,12.125,12475482.48052722,12.453125,12475482.48052722
0,13,12.9375,12440384.23049705,13.265625,12440384.23049705
0,14,13.765625,12405811.153479833,14.09375,12405811.153479833
0,15,14.5625,12343595.415512133,14.890625,12343595.415512133
0,16,15.359375,12310982.576581841,15.6875,12310982.576581841
0,17,16.171875,12278421.395923601,16.5,12278421.395923601
0,18,16.984375,12247224.661343396,17.3125,12247224.661343396
0,19,17.8125,12216125.520018376,18.140625,12216125.520018376
0,20,18.625,12187279.552315466,18.953125,12187279.552315466
0,21,19.453125,12162030.686755393,19.78125,12162030.686755393
0,22,20.25,12137412.14372146,20.578125,12137412.14372146
0,23,21.046875,12116151.661226463,21.375,12116151.661226463
0,24,21.875,12071557.548551975,22.203125,12071557.548551975
0,25,22.734375,12047351.613721846,23.0625,12047351.613721846
0,26,23.53125,12027914.282359347,23.859375,12027914.282359347
0,27,24.328125,12008895.36938589,24.65625,12008895.36938589
0,28,25.109375,11989892.921743128,25.4375,11989892.921743128
0,29,25.9375,11971519.235206693,26.265625,11971519.235206693
0,30,26.765625,11953468.373415263,27.09375,11953468.373415263
0,31,27.578125,11935421.898968568,27.90625,11935421.898968568
0,32,28.390625,11918185.917703712,28.71875,11918185.917703712
0,33,29.203125,11903311.9388777,29.53125,11903311.9388777
0,34,30.0,11888571.234334817,30.328125,11888571.234334817
0,35,30.828125,11871495.566457108,31.15625,11871495.566457108
0,36,31.640625,11857554.620017659,31.96875,11857554.620017659
0,37,32.484375,11843687.80120351,32.8125,11843687.80120351
0,38,33.296875,11830318.237816507,33.625,11830318.237816507
0,39,34.09375,11816467.33960412,34.421875,11816467.33960412
0,40,34.921875,11803975.300132466,35.25,11803975.300132466
0,41,35.734375,11791670.760224935,36.0625,11791670.760224935
0,42,36.53125,11779766.399945019,36.859375,11779766.399945019
0,43,37.328125,11767931.426116353,37.65625,11767931.426116353
0,44,38.1875,11756115.269765465,38.515625,11756115.269765465
0,45,39.0,11726544.76975392,39.328125,11726544.76975392
0,46,39.828125,11714735.257067341,40.15625,11714735.257067341
0,47,40.640625,11703013.43313766,40.96875,11703013.43313766
0,48,41.4375,11669337.09037736,41.765625,11669337.09037736
0,49,42.25,11657678.883388031,42.578125,11657678.883388031
0,50,43.078125,11646346.300137395,43.40625,11646346.300137395
0,51,43.90625,11635155.58618191,44.234375,11635155.58618191
0,52,44.703125,11623297.017594386,45.03125,11623297.017594386
0,53,45.515625,11612278.030721394,45.84375,11612278.030721394
0,54,46.328125,11601384.36704994,46.65625,11601384.36704994
0,55,47.140625,11591120.810442077,47.46875,11591120.810442077
