Restart,Iteration,RunTime,Distance,RunTimeSinceBeginningOfRun,BestDistance
0,0,0.125,4186341.2822967786,0.140625,4123584.115614488
0,1,0.1875,3996343.4875707133,0.203125,3996343.4875707133
0,2,0.21875,3939264.0089043905,0.234375,3939264.0089043905
0,3,0.265625,3882355.289356678,0.28125,3882355.289356678
0,4,0.3125,3845908.0083134836,0.328125,3845908.0083134836
0,5,0.34375,3817101.8748208922,0.359375,3817101.8748208922
0,6,0.390625,3772943.3309986223,0.40625,3772943.3309986223
0,7,0.421875,3744276.911964199,0.4375,3744276.911964199
0,8,0.46875,3716775.943648553,0.484375,3716775.943648553
0,9,0.5,3690804.7276333035,0.515625,3690804.7276333035
0,10,0.546875,3668217.005867324,0.5625,3668217.005867324
0,11,0.59375,3647851.9222291084,0.609375,3647851.9222291084
0,12,0.625,3629029.3555543,0.640625,3629029.3555543
0,13,0.671875,3614414.6615375234,0.6875,3614414.6615375234
0,14,0.71875,3601196.447035805,0.734375,3601196.447035805
0,15,0.75,3588707.8597729295,0.765625,3588707.8597729295
0,16,0.796875,3578245.698641493,0.8125,3578245.698641493
0,17,0.84375,3561741.333531954,0.859375,3561741.333531954
0,18,0.875,3549079.3383624326,0.890625,3549079.3383624326
0,19,0.921875,3534938.259585784,0.9375,3534938.259585784
0,20,0.96875,3524792.4492296022,0.984375,3524792.4492296022
0,21,1.015625,3517804.3051259913,1.03125,3517804.3051259913
0,22,1.046875,3510918.4717778,1.0625,3510918.4717778
0,23,1.09375,3505542.3724907665,1.109375,3505542.3724907665
0,24,1.140625,3500413.707444748,1.15625,3500413.707444748
0,25,1.171875,3495969.4764712052,1.1875,3495969.4764712052
0,26,1.21875,3494943.052518312,1.234375,3494943.052518312
0,27,1.265625,3494419.3742700433,1.28125,3494419.3742700433
0,28,1.296875,3493945.9663692424,1.3125,3493945.9663692424
0,29,1.34375,3493488.6504259324,1.359375,3493488.6504259324
0,30,1.390625,3493142.056587767,1.40625,3493142.056587767
0,31,1.421875,3493055.1761480165,1.4375,3493055.1761480165
0,32,1.46875,3493055.1761480165,1.484375,3493055.1761480165
1,0,0.171875,4370735.073888829,1.671875,3493055.1761480165
1,1,0.21875,4201826.4424351165,1.71875,3493055.1761480165
1,2,0.265625,4156514.490321669,1.765625,3493055.1761480165
1,3,0.296875,4112266.434821165,1.796875,3493055.1761480165
1,4,0.359375,4030204.1340455883,1.859375,3493055.1761480165
