Restart,Iteration,RunTime,Distance,RunTimeSinceBeginningOfRun,BestDistance,gIterations
0,0,1.140625,7633178.30557845,1.21875,7500219.930392396,1
0,1,1.359375,7383477.272093299,1.4375,7383477.272093299,2
0,2,1.578125,7316536.5770485895,1.65625,7316536.5770485895,3
0,3,1.859375,7259724.199079376,1.9375,7259724.199079376,4
0,4,2.078125,7204501.0551523715,2.15625,7204501.0551523715,5
0,5,2.3125,7148872.652564616,2.390625,7148872.652564616,6
0,6,2.546875,7097846.606325804,2.625,7097846.606325804,7
0,7,2.765625,7051657.705915964,2.84375,7051657.705915964,8
0,8,3.0,7006824.652662155,3.078125,7006824.652662155,9
0,9,3.265625,6963458.786094487,3.34375,6963458.786094487,10
0,10,3.5,6913777.82525884,3.578125,6913777.82525884,11
0,11,3.765625,6878480.291408636,3.84375,6878480.291408636,12
0,12,4.046875,6844783.606337841,4.125,6844783.606337841,13
0,13,4.28125,6814509.946127542,4.359375,6814509.946127542,14
0,14,4.5625,6791401.432672369,4.640625,6791401.432672369,15
0,15,4.84375,6772284.457966856,4.921875,6772284.457966856,16
0,16,5.140625,6753592.753471528,5.21875,6753592.753471528,17
0,17,5.375,6735749.915732868,5.453125,6735749.915732868,18
0,18,5.65625,6719073.083401971,5.734375,6719073.083401971,19
0,19,5.90625,6703638.568795442,5.984375,6703638.568795442,20
0,20,6.140625,6690303.370449981,6.21875,6690303.370449981,21
0,21,6.421875,6678715.161093142,6.5,6678715.161093142,22
0,22,6.671875,6667724.921187999,6.75,6667724.921187999,23
0,23,6.90625,6647382.6819844805,6.984375,6647382.6819844805,24
0,24,7.15625,6636888.48526005,7.234375,6636888.48526005,25
0,25,7.4375,6627116.46830336,7.515625,6627116.46830336,26
0,26,7.703125,6618725.506358391,7.78125,6618725.506358391,27
0,27,7.9375,6610832.393040764,8.015625,6610832.393040764,28
0,28,8.203125,6605718.36687765,8.28125,6605718.36687765,29
0,29,8.5,6600960.219910687,8.578125,6600960.219910687,30
0,30,8.78125,6596313.507109874,8.859375,6596313.507109874,31
0,31,9.03125,6591740.706708698,9.109375,6591740.706708698,32
0,32,9.28125,6575224.568877788,9.359375,6575224.568877788,33
0,33,9.546875,6570713.284227245,9.625,6570713.284227245,34
0,34,9.8125,6566625.811762607,9.890625,6566625.811762607,35
0,35,10.09375,6562852.633959928,10.171875,6562852.633959928,36
0,36,10.359375,6559161.14960055,10.4375,6559161.14960055,37
0,37,10.640625,6547422.755713805,10.71875,6547422.755713805,38
0,38,10.875,6534483.064507265,10.953125,6534483.064507265,39
0,39,11.09375,6527902.262719252,11.171875,6527902.262719252,40
0,40,11.328125,6524101.675905138,11.40625,6524101.675905138,41
0,41,11.5625,6520722.418457972,11.640625,6520722.418457972,42
0,42,11.8125,6517392.808499199,11.890625,6517392.808499199,43
0,43,12.078125,6514708.680841617,12.15625,6514708.680841617,44
0,44,12.359375,6512225.559372525,12.4375,6512225.559372525,45
0,45,12.625,6510111.149324412,12.703125,6510111.149324412,46
0,46,12.890625,6508031.833257488,12.96875,6508031.833257488,47
0,47,13.15625,6503467.282044938,13.234375,6503467.282044938,48
0,48,13.375,6501542.474000469,13.453125,6501542.474000469,49
0,49,13.609375,6499761.477302441,13.6875,6499761.477302441,50
0,50,13.859375,6497987.2793470835,13.9375,6497987.2793470835,51
0,51,14.109375,6496545.41353667,14.1875,6496545.41353667,52
0,52,14.34375,6495162.677673352,14.421875,6495162.677673352,53
0,53,14.578125,6493788.003039172,14.65625,6493788.003039172,54
0,54,14.8125,6492637.865185229,14.890625,6492637.865185229,55
0,55,15.046875,6491656.704495001,15.125,6491656.704495001,56
0,56,15.296875,6490751.671229351,15.375,6490751.671229351,57
0,57,15.59375,6489945.739540076,15.671875,6489945.739540076,58
0,58,15.859375,6477184.933971926,15.9375,6477184.933971926,59
0,59,16.09375,6459641.313996783,16.171875,6459641.313996783,60
0,60,16.3125,6450841.476302343,16.390625,6450841.476302343,61
0,61,16.578125,6442526.712145539,16.65625,6442526.712145539,62
0,62,16.8125,6441720.879401196,16.890625,6441720.879401196,63
0,63,17.046875,6441299.090629819,17.125,6441299.090629819,64
0,64,17.296875,6441299.090629819,17.375,6441299.090629819,65
1,0,0.46875,7399197.428216176,17.921875,6441299.090629819,66
1,1,0.71875,7218723.981910096,18.171875,6441299.090629819,67
1,2,1.0,7161611.4937236365,18.453125,6441299.090629819,68
1,3,1.265625,7103004.19276602,18.71875,6441299.090629819,69
1,4,1.53125,7058487.140537285,18.984375,6441299.090629819,70
1,5,1.75,7015121.273969617,19.203125,6441299.090629819,71
1,6,1.984375,6965440.31313397,19.4375,6441299.090629819,72
1,7,2.234375,6930142.779283766,19.6875,6441299.090629819,73
1,8,2.484375,6899869.119073467,19.9375,6441299.090629819,74
1,9,2.71875,6871573.031368622,20.171875,6441299.090629819,75
1,10,3.0,6814255.692886591,20.453125,6441299.090629819,76
1,11,3.234375,6760542.565508423,20.6875,6441299.090629819,77
1,12,3.46875,6734128.417325231,20.921875,6441299.090629819,78
1,13,3.734375,6711019.903870058,21.1875,6441299.090629819,79
1,14,3.96875,6688382.241764372,21.421875,6441299.090629819,80
1,15,4.1875,6672947.727157843,21.640625,6441299.090629819,81
1,16,4.421875,6659357.041784908,21.875,6441299.090629819,82
1,17,4.640625,6646021.843439447,22.09375,6441299.090629819,83
1,18,4.84375,6632816.076824048,22.296875,6441299.090629819,84
1,19,5.0625,6621227.867467209,22.515625,6441299.090629819,85
1,20,5.296875,6611455.850510519,22.75,6441299.090629819,86
1,21,5.515625,6603064.88856555,22.96875,6441299.090629819,87
1,22,5.765625,6595171.775247923,23.21875,6441299.090629819,88
1,23,6.015625,6587292.955132291,23.46875,6441299.090629819,89
1,24,6.25,6581305.5117330495,23.703125,6441299.090629819,90
1,25,6.5,6574173.143929195,23.953125,6441299.090629819,91
1,26,6.734375,6568308.897317751,24.1875,6441299.090629819,92
1,27,6.96875,6563397.000996589,24.421875,6441299.090629819,93
1,28,7.21875,6558638.854029626,24.671875,6441299.090629819,94
1,29,7.46875,6553992.141228813,24.921875,6441299.090629819,95
