Restart,Iteration,RunTime,Distance,RunTimeSinceBeginningOfRun,BestDistance,gIterations
0,0,0.0,1721537.4691782347,0.0,1664685.18879258,1
0,1,0.0,1632926.447143187,0.0,1632926.447143187,2
0,2,0.0,1550336.1772037002,0.0,1550336.1772037002,3
0,3,0.0,1525541.128217696,0.0,1525541.128217696,4
0,4,0.015625,1520268.7046716816,0.015625,1520268.7046716816,5
0,5,0.015625,1502131.7629098317,0.015625,1502131.7629098317,6
0,6,0.015625,1496445.9017628294,0.015625,1496445.9017628294,7
0,7,0.015625,1461507.8232646976,0.015625,1461507.8232646976,8
0,8,0.015625,1458214.426642518,0.015625,1458214.426642518,9
0,9,0.015625,1458214.426642518,0.015625,1458214.426642518,10
1,0,0.0,1712228.2322904523,0.015625,1458214.426642518,11
1,1,0.015625,1571295.9794890147,0.03125,1458214.426642518,12
1,2,0.015625,1538565.1699591668,0.03125,1458214.426642518,13
1,3,0.015625,1524599.8122081794,0.03125,1458214.426642518,14
1,4,0.015625,1519327.388662165,0.03125,1458214.426642518,15
1,5,0.015625,1501190.4469003151,0.03125,1458214.426642518,16
1,6,0.015625,1495504.5857533128,0.03125,1458214.426642518,17
1,7,0.015625,1460566.507255181,0.03125,1458214.426642518,18
1,8,0.015625,1457273.1106330014,0.03125,1457273.1106330014,19
1,9,0.015625,1456600.8061605264,0.03125,1456600.8061605264,20
1,10,0.03125,1456600.8061605264,0.046875,1456600.8061605264,21
2,0,0.0,1774426.357497956,0.046875,1456600.8061605264,22
2,1,0.0,1558360.2406023222,0.046875,1456600.8061605264,23
2,2,0.0,1517592.4501304864,0.046875,1456600.8061605264,24
2,3,0.0,1500805.8680446967,0.046875,1456600.8061605264,25
2,4,0.0,1486633.831237151,0.046875,1456600.8061605264,26
2,5,0.0,1460591.1695740581,0.046875,1456600.8061605264,27
2,6,0.0,1456574.9656210176,0.046875,1456574.9656210176,28
2,7,0.015625,1453976.5612151953,0.0625,1453976.5612151953,29
2,8,0.015625,1453976.5612151953,0.0625,1453976.5612151953,30
3,0,0.0,1663683.9198362664,0.0625,1453976.5612151953,31
3,1,0.0,1612441.0092510523,0.0625,1453976.5612151953,32
3,2,0.0,1583248.1631674916,0.0625,1453976.5612151953,33
3,3,0.0,1561391.5546407304,0.0625,1453976.5612151953,34
3,4,0.015625,1549226.272361279,0.078125,1453976.5612151953,35
3,5,0.015625,1522704.9370582986,0.078125,1453976.5612151953,36
3,6,0.015625,1494561.0638854462,0.078125,1453976.5612151953,37
3,7,0.015625,1472968.94192515,0.078125,1453976.5612151953,38
3,8,0.015625,1462456.0997938197,0.078125,1453976.5612151953,39
3,9,0.015625,1458439.8958407792,0.078125,1453976.5612151953,40
3,10,0.015625,1455841.491434957,0.078125,1453976.5612151953,41
3,11,0.015625,1455841.491434957,0.078125,1453976.5612151953,42
4,0,0.015625,1662591.1425661773,0.09375,1453976.5612151953,43
4,1,0.015625,1585544.8884546016,0.09375,1453976.5612151953,44
4,2,0.015625,1559502.2267915087,0.09375,1453976.5612151953,45
4,3,0.015625,1534340.6173492656,0.09375,1453976.5612151953,46
4,4,0.015625,1512484.0088225044,0.09375,1453976.5612151953,47
4,5,0.015625,1494218.6314603847,0.09375,1453976.5612151953,48
4,6,0.015625,1476699.857218652,0.09375,1453976.5612151953,49
4,7,0.015625,1452398.7702522657,0.09375,1452398.7702522657,50
4,8,0.03125,1449236.67751306,0.109375,1449236.67751306,51
4,9,0.03125,1435271.3197620725,0.109375,1435271.3197620725,52
4,10,0.03125,1435271.3197620725,0.109375,1435271.3197620725,53
5,0,0.0,1591796.7920344668,0.109375,1435271.3197620725,54
5,1,0.0,1522959.9368542987,0.109375,1435271.3197620725,55
5,2,0.0,1517687.513308284,0.109375,1435271.3197620725,56
5,3,0.0,1499550.5715464342,0.109375,1435271.3197620725,57
5,4,0.015625,1493864.7103994319,0.125,1435271.3197620725,58
5,5,0.015625,1458926.6319013,0.125,1435271.3197620725,59
5,6,0.015625,1455633.2352791205,0.125,1435271.3197620725,60
5,7,0.015625,1455633.2352791205,0.125,1435271.3197620725,61
6,0,0.0,1795378.7619305442,0.125,1435271.3197620725,62
6,1,0.0,1589397.425891149,0.125,1435271.3197620725,63
6,2,0.0,1561237.8007105235,0.125,1435271.3197620725,64
6,3,0.015625,1539381.1921837623,0.140625,1435271.3197620725,65
